,choicely_video_not_available,,Video is not currently available.,Video ei ole tällä hetkellä saatavilla.
x,,VideoNotFound,Video not found,
,,,,
,choicely_time_just_now,,now,nyt
,,JustNow,just now,
,,timeLeft,time left,
,choicely_time_years,years,%1$dy,%1$dy
,choicely_time_weeks,weeks,%1$dw,%1$dv
,choicely_time_days,days,%1$dd,%1$dpv
,choicely_time_hours,hours,%1$dh,%1$dt
,choicely_time_min,minutes,%1$dm,%1$dm
,choicely_time_sec,,%1$ds,%1$ds
,choicely_time_year,year,year,vuosi
,choicely_time_long_moments_ago,just_now,just now,nyt
,choicely_contest_participation_failed_general,,Contest participation failed. Please try again later.,Osallituminen epäonnistui. Yritä myöhemmin uudestaan.
,choicely_contest_participation_failed_already_participated,,You have already participated with this image.,Olet jo osallistunut tällä kuvalla.
,choicely_contest_has_ended,,Contest has ended,Kilpailu on päättynyt
,choicely_info,,Info,Info
x,,ReportAdditionalContent,Additional information,
x,,PersonalInformation,Personal information,
,,,,
,choicely_notification_channel_default_title,,Follow,Seuraa
x,,followButtonFollow,follow,
,choicely_notification_channel_default_description,,Information you follow,Aiheet joita sinä seuraat
,,,,
,choicely_age,,Age,Ikä
,choicely_under_18,,Under 18,Alle 18
,choicely_select_yout_age,,Select your age,Valitse ikäsi
,choicely_location,,Location,Sijainti
,choicely_enter_location,,Enter location,Aseta sijainti
,choicely_enter_your_location,,Enter your location,Aseta sijaintisi
,,,,
,choicely_gender,GenderPlaceholder,Gender,Sukupuoli
,choicely_select_your_gender,,Select your gender,Valitse sukupuolesi
,choicely_gender_not_selected,,Not specified,Ei määritelty
,choicely_gender_male,Male,Male,Mies
,choicely_gender_female,Female,Female,Nainen
,choicely_gender_other,Other,Other,Muu
,,,,
,choicely_profile_password_reset_success,,Password reset request sent,Salasanan nollaus pyyntö lähetetty
x,,APasswordResetLinkWasSentTo,A password reset link was sent to,
,choicely_profile_continue_with_sms,,Continue with SMS,Jatka tekstiviestillä
,choicely_profile_continue_with_google,,Continue with Google,Jatka Googlella
,choicely_profile_continue_with_facebook,,Continue with Facebook,Jatka Facebookilla
,choicely_profile_continue_with_apple_id,,Continue with Apple ID,Jatka Apple ID:llä
,choicely_forgot_password_question,ForgotPassword?,Forgot password?,Unohtuiko salasanasi?
,choicely_search_location_select_city,,Select your city,Valitse kaupunkisi
x,,SelectCity,Select city,
,choicely_search_location_error_no_city_selected,,No city selected,Ei valittua kaupunkia
,choicely_fill_profile_to_see_results,,Complete profile to see advanced results,Täydennä profiilisi nähdäksesi tarkemmat tulokset
,choicely_profile_sign_in,SignIn,Sign in,Kirjaudu sisään
,,,,
,choicely_finished,,Finished,Kilpailu on päättynyt
,choicely_rating_contest,,Rating contest,Arvostelu kilpailu
,choicely_contest_state_running,running_contests,Live,Live
,choicely_contest_state_finished,finished,Results,Tulokset
,choicely_contest_state_announced,,Announced,Ilmoitettu
x,,ResultsAnnouncedIn,Results announced in:,
,choicely_contest_state_all,,All,Kaikki
,choicely_contest_state_setup,,Setup,Valmistele
,choicely_contest_type_vote_only,VotingContestTitle,Voting,Äänestys
x,,VotingStartsIn,Voting starts in:,
,choicely_contest_type_vote_only_description,,You add your photos and people vote,"Sinä lisäät kuvat, ja muut äänestävät"
x,,VotingContestDescription,Add a set of photos to vote for,
,choicely_contest_type_image_participate_description,,People can add their own photos,Muut voivat lisätä omia kuviaan
x,,PhotoContestDescription,Users can participate with their own photos,
,choicely_contest_type_choices_description,,You add your photos and people choose from available choices,"Sinä lisäät kuvasi, ja muut valitsevat vaihtoehtojen joukosta"
,choicely_show_contest_result_breakdown,ShowContestResultsBreakdown,Show contest result breakdown,Näytä kilpailun tulokset
,choicely_rating,,Rating,Arvostelu
,choicely_challenge,PhotoContestTitle,Challenge,Haaste
,choicely_contest_ad_already_watched,,Video already watched,Olet jo katsonut tämän videon
,choicely_survey,,Survey,Kysely
,choicely_contest_voting_features,VotingFeatures,Voting features,Äänestyksen ominaisuudet
,choicely_contest_voting_features_free_votes,FreeVotes,Free votes,Ilmaiset äänet
,choicely_contest_voting_features_limit_per_contestant,VotesPerContestant,Votes\nlimit / contestant,Äänet\nraja / kilpailija
,choicely_contest_voting_earn_votes,EarnVotes,Earn votes,Ansaitse ääniä
,choicely_contest_voting_unvotes,Unvote,Unvote,Poista ääni
,choicely_contest_voting_premium_votes,PremiumVotes,Premium votes,Premium-äänet
,choicely_contest_voting_premium_limit_per_voter,,Premium votes\nLimit / voter,Premium-äänet\nRaja / äänestäjä
,choicely_contest_voting_premium_limit_per_contestant,,Premium votes\nlimit / contestant,Premium-äänet\nraja / kilpailija
x,,MaxPaidVotesParticipant,Limit number of paid votes per participant,
,choicely_contest_voting_results_visible,resultsVisible,Results visible,Tulokset näkyvissä
,choicely_contest_voting_results_visible_after,,After vote,Äänestyksen jälkeen
x,,hidden_until_vote,Shown after voting,
,choicely_contest_voting_results_visible_tba,,To be announced,Ilmoitetaan myöhemmin
x,,emptyResults,Contest results will be visible later.,
,choicely_contest_voting_results_visible_always,,Always,Aina
x,,Shown,Always,
x,,shown,Always,
,choicely_contest_voting_results_visible_after_end,,After contest end,Kun kilpailu loppuu
,choicely_create_contest_warning_vote_reset,,Warning: vote reset,Varoitus: äänien nollaaminen
,choicely_create_contest_subrating_vote_reset_warning,SubratingVoteResetWarning,"Adding, removing or changing advanced rating weights will reset all contest votes","Edistyneiden arvioiden painojen lisääminen, poistaminen ja muuttaminen nollaa kaikki kilpailun äänet!"
,choicely_contest_download_failed,,Contest download failed,Kilpailun lataaminen epäonnistui
x,,ContestUpdateFailed,Contest update failed.,
,choicely_contest_choices,Choices,Choices,Vaihtoehdot
,choicely_contest_people,People,People,Ihmiset
,choicely_contest_stars,Stars,Stars,Tähdet
,,YourStars,Your stars,
,choicely_thank_you_for_your_vote,ThanksForYourVote,Thank you for your vote!,Kiitos äänestäsi!
,choicely_n_answers,,%1$d answers,%1$d vastausta
,,,,
,choicely_votes,,Votes,Äänet
,,total votes,total votes,
,choicely_vote_failed,,Voting failed. Please try again later.,Äänestys epäonnistui. Kokeile myöhemmin uudestaan.
,choicely_swipe_guide_message,AreYouReadyToSwipe,"Ready? Right if you\'re interested, left to pass","Valmiina? Oikealle, jos sinä olet kiinnostunut, vasemmalle skipataksesi"
,choicely_no_participants_to_swipe,,Contest has no participants,Kilpailulla ei ole kilpailijoita
,choicely_no_more_participants,NoMoreParticipantsToSwipe,There are no more participants,Ei enempää kilpailijoita
,choicely_swipe_voting_not_available,,Swipe voting not available,Swipe-äänestys ei saatavilla
,,,,
,choicely_vote_service_not_enough_votes,,Not enough votes,Ei tarpeeksi ääniä
,choicely_vote_service_not_enough_earn_silvers,,You have already used up all free votes.\n\nIf you want to vote more you can watch an ad to earn more.,You have already used up all free votes.\n\nIf you want to vote more you can watch an ad to earn more.
,choicely_vote_service_not_enough_free_votes,,Not enough free votes,Ei tarpeeksi ilmaisia ääniä
,choicely_vote_service_not_enough_free_buy_stars,,You have already used up all free votes.\n\nIf you want to vote more you can buy stars here.,"Olet käyttänyt kaikki ilmaiset äänesi.\n\nJos haluat antaa lisää ääniä, voit ostaa tähtiä täältä."
,choicely_vote_service_not_enough_free_remove_votes,,You have already used up all free votes. You can remove votes from other participants.,Olet käyttänyt kaikki ilmaiset äänesi. Voit poistaa antamiasi ääniä muilta kilpailijoilta.
,choicely_vote_service_not_enough_free_no_remove_allowed,,You have already used up all free votes.,Olet käyttänyt kaikki ilmaiset äänesi.
,choicely_vote_service_contest_ended_title,,Contest has ended,Kilpailu on päättynyt
,,ContestEnds,Ends,
,choicely_vote_service_contest_starts_in,,Contest start %1$s,Kilpailu alkaa %1$s
,,ContestStarts,Starts,
,,,,
,choicely_title,,Title,Otsikko
,choicely_description,,Description,Kuvaus
,choicely_image_text,,Image text,Kuvateksti
,choicely_upload_photo,,Upload photo,Lähetä kuva
,,,,
,choicely_survey_this_field_is_required,ThisFieldIsRequired,This field is required,Pakollinen kenttä
,choicely_survey_all_required_fields_not_filled,,All required survey fields not filled,Kaikki pakolliset kentät eivät ole täytettyjä
,,,,
,choicely_shop_fragment_header_default_title,,Support {participant_title},Tue {participant_title}
,choicely_shop_fragment_header_default_description,,"Get more votes, {user_name}!","Hanki lisää ääniä, {user_name}!"
,choicely_shop_save_money,,SAVE %d%%,Säästä %d%%
,choicely_get_votes,,Get votes,Hanki ääniä
,,GetMoreVotes,"Get more votes, {user_name}!",
,choicely_buy,Buy,Buy,Osta
,choicely_purchase_failed,,Purchase failed!,Ostos epäonnistui!
,choicely_purchase_succeeded,,Purchase succesful!,Ostos onnistui!
,choicely_buy_more,,Buy more,Osta lisää
,choicely_restore_purchase,RestorePurchases,Restore purchase,Palauta ostos
x,,RestorePurchases,Restore Purchases,
,choicely_restore_purchase_description,,You own this subscription on another account. You can restore the purchase to this account but it means that you will lose access on that another account.\nRestore purchase?,"Omistat tämän tilauksen toisella tilillä. Voit palauttaa ostoksen tälle tilille, mutta tulet menettämään oikeusen sisältöön toisella tilllä.\nPalauta ostos?"
,choicely_manage_subcriptions,,Manage subscriptions,Hallitse tilauksia
,choicely_open_content,,Open content,Avaa sisältö
,choicely_renews_on,,Renews on: %s\n%s,Seuraava maksu: %s\n%s
,choicely_expires_on,,Expires on: %s\nRenew %s,Vanhentuu: %s\nJatka tilausta %s
,choicely_problem_with_your_payment,,Problem with your payment!,Maksuhäiriö!
,choicely_change_the_plan,,Change the plan,Muuta laskutusaikaa
,choicely_subscription_plan_text,,%s\n%s / %s,
,choicely_subscription_plan_bottom_text,,"(%s /mo, Save %s%%)","(%s /kk, Säästä %s%%)"
,choicely_purchase_restored,,Purchase restored!,Ostos palautettu!
,choicely_subscription_my_plan,,My plan,Tilaukseni
,,,,
,choicely_participant_counter,,,
,choicely_lorem,,,
,choicely_lorem_short,,,
,choicely_lorem_long,,,
